dataset,arm,backbone,h,seed,L,mse
gefcom_wind,condnorm,linmix,96,3,336,0.165591
gefcom_wind,condnorm,linmix,96,4,336,0.165403
gefcom_wind,raw,mlpmix,96,0,336,0.24825
gefcom_wind,raw,mlpmix,96,1,336,0.254218
gefcom_wind,raw,mlpmix,96,2,336,0.263691
gefcom_wind,raw,mlpmix,96,3,336,0.248395
gefcom_wind,raw,mlpmix,96,4,336,0.261827
gefcom_wind,revin,mlpmix,96,0,336,0.276295
gefcom_wind,revin,mlpmix,96,1,336,0.273562
gefcom_wind,revin,mlpmix,96,2,336,0.290451
gefcom_wind,revin,mlpmix,96,3,336,0.267926
gefcom_wind,revin,mlpmix,96,4,336,0.287769
gefcom_wind,san,mlpmix,96,0,336,0.313286
gefcom_wind,san,mlpmix,96,1,336,0.301381
gefcom_wind,san,mlpmix,96,2,336,0.297531
gefcom_wind,san,mlpmix,96,3,336,0.308201
gefcom_wind,san,mlpmix,96,4,336,0.323639
gefcom_wind,fan,mlpmix,96,0,336,0.999084
gefcom_wind,fan,mlpmix,96,1,336,0.931364
gefcom_wind,fan,mlpmix,96,2,336,1.07638
gefcom_wind,fan,mlpmix,96,3,336,0.988135
gefcom_wind,fan,mlpmix,96,4,336,1.030765
gefcom_wind,condnorm,mlpmix,96,0,336,0.156084
gefcom_wind,condnorm,mlpmix,96,1,336,0.156642
gefcom_wind,condnorm,mlpmix,96,2,336,0.155267
gefcom_wind,condnorm,mlpmix,96,3,336,0.154823
gefcom_wind,condnorm,mlpmix,96,4,336,0.155511
gefcom_wind,raw,lgbmcov,96,0,336,0.151311
gefcom_wind,revin,lgbmcov,96,0,336,0.172164
gefcom_wind,condnorm,lgbmcov,96,0,336,0.146172
gefcom_wind,raw,linmix,336,0,336,0.384811
gefcom_wind,raw,linmix,336,1,336,0.386918
gefcom_wind,raw,linmix,336,2,336,0.332647
gefcom_wind,raw,linmix,336,3,336,0.412157
gefcom_wind,raw,linmix,336,4,336,0.387808
gefcom_wind,revin,linmix,336,0,336,0.446588
gefcom_wind,revin,linmix,336,1,336,0.423559
gefcom_wind,revin,linmix,336,2,336,0.386436
gefcom_wind,revin,linmix,336,3,336,0.403894
gefcom_wind,revin,linmix,336,4,336,0.43223
gefcom_wind,san,linmix,336,0,336,0.453409
gefcom_wind,san,linmix,336,1,336,0.510893
gefcom_wind,san,linmix,336,2,336,0.488051
gefcom_wind,san,linmix,336,3,336,0.444071
gefcom_wind,san,linmix,336,4,336,0.449277
gefcom_wind,fan,linmix,336,0,336,0.820933
gefcom_wind,fan,linmix,336,1,336,0.919958
gefcom_wind,fan,linmix,336,2,336,0.790865
gefcom_wind,fan,linmix,336,3,336,0.853151
gefcom_wind,fan,linmix,336,4,336,0.773206
gefcom_wind,condnorm,linmix,336,0,336,0.202572
gefcom_wind,condnorm,linmix,336,1,336,0.196255
gefcom_wind,condnorm,linmix,336,2,336,0.199433
gefcom_wind,condnorm,linmix,336,3,336,0.19583
gefcom_wind,condnorm,linmix,336,4,336,0.201626
gefcom_wind,raw,mlpmix,336,0,192,0.348421
gefcom_wind,raw,mlpmix,336,1,192,0.345318
gefcom_wind,raw,mlpmix,336,2,192,0.345534
gefcom_wind,raw,mlpmix,336,3,192,0.337213
gefcom_wind,raw,mlpmix,336,4,192,0.339056
gefcom_wind,revin,mlpmix,336,0,192,0.425686
gefcom_wind,revin,mlpmix,336,1,192,0.423922
gefcom_wind,revin,mlpmix,336,2,192,0.426338
gefcom_wind,revin,mlpmix,336,3,192,0.436948
gefcom_wind,revin,mlpmix,336,4,192,0.427209
gefcom_wind,san,mlpmix,336,0,192,0.476994
gefcom_wind,san,mlpmix,336,1,192,0.460332
gefcom_wind,san,mlpmix,336,2,192,0.477532
gefcom_wind,san,mlpmix,336,3,192,0.489458
gefcom_wind,san,mlpmix,336,4,192,0.448856
gefcom_wind,fan,mlpmix,336,0,192,0.801097
gefcom_wind,fan,mlpmix,336,1,192,0.808163
gefcom_wind,fan,mlpmix,336,2,192,0.811014
gefcom_wind,fan,mlpmix,336,3,192,0.748716
gefcom_wind,fan,mlpmix,336,4,192,0.73347
gefcom_wind,condnorm,mlpmix,336,0,192,0.166009
gefcom_wind,condnorm,mlpmix,336,1,192,0.166099
gefcom_wind,condnorm,mlpmix,336,2,192,0.164226
gefcom_wind,condnorm,mlpmix,336,3,192,0.166423
gefcom_wind,condnorm,mlpmix,336,4,192,0.165436
gefcom_wind,raw,lgbmcov,336,0,336,0.164763
gefcom_wind,revin,lgbmcov,336,0,336,0.202109
