dataset,arm,backbone,h,seed,variant,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
jeju_wind,condnorm,rlinear_q,24,4,none,0.166089,0.332177,0.549215,0.221876,0.771091,0.541532
jeju_wind,condnorm,rlinear_q,24,4,pooled,0.161699,0.323399,0.814029,0.056723,0.870752,0.799988
jeju_wind,condnorm,rlinear_q,24,4,perstep,0.161524,0.323049,0.815149,0.057318,0.872467,0.800008
jeju_wind,raw,rlinear_q,48,0,none,0.24164,0.48328,0.768814,0.108553,0.877367,0.72921
jeju_wind,raw,rlinear_q,48,0,pooled,0.240616,0.481233,0.833307,0.082124,0.915431,0.800006
jeju_wind,raw,rlinear_q,48,0,perstep,0.239915,0.479831,0.83449,0.081424,0.915915,0.800311
jeju_wind,raw,rlinear_q,48,1,none,0.2432,0.486399,0.754634,0.122312,0.876946,0.714772
jeju_wind,raw,rlinear_q,48,1,pooled,0.242087,0.484175,0.836263,0.08226,0.918523,0.800142
jeju_wind,raw,rlinear_q,48,1,perstep,0.241758,0.483516,0.837883,0.081235,0.919118,0.800694
jeju_wind,raw,rlinear_q,48,2,none,0.243777,0.487555,0.751531,0.116327,0.867857,0.702326
jeju_wind,raw,rlinear_q,48,2,pooled,0.243168,0.486337,0.842022,0.073387,0.91541,0.799996
jeju_wind,raw,rlinear_q,48,2,perstep,0.242659,0.485318,0.842985,0.073582,0.916567,0.799952
jeju_wind,raw,rlinear_q,48,3,none,0.237066,0.474133,0.793155,0.103609,0.896764,0.747125
jeju_wind,raw,rlinear_q,48,3,pooled,0.236272,0.472543,0.842648,0.081724,0.924372,0.800486
jeju_wind,raw,rlinear_q,48,3,perstep,0.236107,0.472215,0.844715,0.080546,0.925261,0.801014
jeju_wind,raw,rlinear_q,48,4,none,0.245663,0.491325,0.779391,0.094836,0.874222,0.724178
jeju_wind,raw,rlinear_q,48,4,pooled,0.24578,0.49156,0.848865,0.064115,0.91298,0.799996
jeju_wind,raw,rlinear_q,48,4,perstep,0.245669,0.491338,0.846956,0.066545,0.9135,0.800093
jeju_wind,revin,rlinear_q,48,0,none,0.246007,0.492014,0.808203,0.084212,0.892415,0.785587
jeju_wind,revin,rlinear_q,48,0,pooled,0.245951,0.491903,0.823303,0.077606,0.900909,0.80002
jeju_wind,revin,rlinear_q,48,0,perstep,0.245933,0.491867,0.822825,0.077716,0.900541,0.800209
jeju_wind,revin,rlinear_q,48,1,none,0.248502,0.497003,0.811338,0.082003,0.89334,0.790959
jeju_wind,revin,rlinear_q,48,1,pooled,0.248218,0.496436,0.821683,0.074655,0.896338,0.800016
jeju_wind,revin,rlinear_q,48,1,perstep,0.248142,0.496283,0.821736,0.074634,0.89637,0.800035
jeju_wind,revin,rlinear_q,48,2,none,0.247686,0.495372,0.805568,0.082692,0.888259,0.7727
jeju_wind,revin,rlinear_q,48,2,pooled,0.247668,0.495335,0.83297,0.06585,0.898821,0.799996
jeju_wind,revin,rlinear_q,48,2,perstep,0.247568,0.495135,0.83297,0.065866,0.898837,0.799962
jeju_wind,revin,rlinear_q,48,3,none,0.242919,0.485838,0.805689,0.084117,0.889806,0.781005
jeju_wind,revin,rlinear_q,48,3,pooled,0.242621,0.485242,0.825817,0.077448,0.903265,0.800282
jeju_wind,revin,rlinear_q,48,3,perstep,0.24242,0.48484,0.826065,0.076901,0.902965,0.800428
jeju_wind,revin,rlinear_q,48,4,none,0.249198,0.498396,0.80105,0.087772,0.888822,0.788443
jeju_wind,revin,rlinear_q,48,4,pooled,0.249135,0.498269,0.81412,0.079641,0.893761,0.800001
