dataset,backbone,h,bin,n,ramp_lo,ramp_hi,cost,mse_raw,mse_revin,lvl_err_windowmean,lvl_err_covariate
gefcom_wind,segrnncov,24,2,468,0.13599837629152534,0.3103079384167307,0.035223,0.24526,0.280482,0.740855,0.196446
gefcom_wind,segrnncov,96,0,256,0.09663852943772677,0.13791650305859504,-0.004481,0.127929,0.123448,0.231185,0.079677
gefcom_wind,segrnncov,96,1,255,0.13791650305859504,0.17253865566867782,0.043701,0.147247,0.190948,0.582892,0.05229
gefcom_wind,segrnncov,96,2,255,0.17253865566867782,0.2397068051798743,0.037944,0.219441,0.257385,0.567259,0.135181
gefcom_wind,segrnncov,336,0,32,0.17496080887463844,0.22084369735467888,0.019959,0.181349,0.201308,0.082218,0.022912
gefcom_wind,segrnncov,336,1,31,0.22084369735467888,0.22084369735467888,0.026795,0.162315,0.18911,0.301973,0.032581
gefcom_wind,segrnncov,336,2,31,0.22084369735467888,0.22084369735467888,0.035308,0.173645,0.208954,0.179865,0.02255
jeju_wind,segrnncov,24,0,1201,1.552,16.778000000000002,-0.009195,0.057401,0.048206,0.567225,0.20143
jeju_wind,segrnncov,24,1,1200,16.778000000000002,32.952999999999996,0.025645,0.219004,0.244649,0.585215,0.281564
jeju_wind,segrnncov,24,2,1200,32.952999999999996,100.258,0.004276,0.489926,0.494202,0.79772,0.328686
jeju_wind,segrnncov,48,0,1193,2.543,24.260000000000005,-0.002174,0.080699,0.078524,0.475062,0.182198
jeju_wind,segrnncov,48,1,1192,24.260000000000005,45.157,0.030546,0.269642,0.300188,0.587377,0.241321
jeju_wind,segrnncov,48,2,1192,45.157,100.258,0.012471,0.452614,0.465085,0.629924,0.261514
gefcom_load,patchtstcov,24,0,4033,7.0,19.0,0.009294,0.177801,0.187095,0.36928,0.205387
gefcom_load,patchtstcov,24,1,4032,19.0,24.0,0.006627,0.1141,0.120727,0.335835,0.186682
gefcom_load,patchtstcov,24,2,4032,24.0,47.900000000000006,-0.0941,0.291906,0.197806,0.440687,0.257783
gefcom_load,patchtstcov,96,0,4009,14.299999999999983,23.200000000000003,0.018526,0.300982,0.319508,0.303196,0.169597
gefcom_load,patchtstcov,96,1,4008,23.200000000000003,27.400000000000006,0.002466,0.318093,0.320559,0.335496,0.169483
gefcom_load,patchtstcov,96,2,4008,27.400000000000006,47.900000000000006,-0.085526,0.484774,0.399248,0.420002,0.230308
gefcom_load,patchtstcov,336,0,3929,17.900000000000006,25.099999999999994,0.07648,0.369612,0.446092,0.296599,0.121927
gefcom_load,patchtstcov,336,1,3928,25.099999999999994,30.19999999999999,-0.126958,0.636179,0.509221,0.341699,0.195896
gefcom_load,patchtstcov,336,2,3928,30.19999999999999,47.900000000000006,-0.02043,0.506028,0.485599,0.447695,0.189009
gefcom_solar,patchtstcov,24,0,1258,0.04457798020692753,0.22497205353126432,0.001192,0.124753,0.125945,0.224118,0.06234
gefcom_solar,patchtstcov,24,1,1258,0.22497205353126432,0.27456982681061615,0.024215,0.11467,0.138885,0.165846,0.05189
gefcom_solar,patchtstcov,24,2,1258,0.27456982681061615,0.44600380116959093,0.02034,0.133892,0.154233,0.171866,0.066621
gefcom_solar,patchtstcov,96,0,1234,0.19092701304543408,0.2911463562753038,0.010471,0.113779,0.12425,0.153211,0.035094
gefcom_solar,patchtstcov,96,1,1234,0.2911463562753038,0.3299340755735493,0.015885,0.123917,0.139802,0.212142,0.037512
gefcom_solar,patchtstcov,96,2,1234,0.3299340755735493,0.44600380116959093,0.026254,0.129486,0.15574,0.138268,0.031348
gefcom_solar,patchtstcov,336,0,1154,0.2802874044084567,0.34390639901034636,0.009541,0.130105,0.139645,0.08866,0.029267
gefcom_solar,patchtstcov,336,1,1154,0.34390639901034636,0.37463087044534404,0.001914,0.119374,0.121288,0.107532,0.020783
gefcom_solar,patchtstcov,336,2,1154,0.37463087044534404,0.44600380116959093,0.012537,0.151844,0.164381,0.066764,0.014595
gefcom_wind,patchtstcov,24,0,304,0.049943494367935215,0.10576945461402754,0.024066,0.197228,0.221294,0.671186,0.150306
gefcom_wind,patchtstcov,24,1,303,0.10576945461402754,0.13791650305859504,0.056705,0.261723,0.318427,0.534908,0.165571
gefcom_wind,patchtstcov,24,2,303,0.13791650305859504,0.2397068051798743,0.041009,0.374593,0.415602,0.729237,0.197334
gefcom_wind,patchtstcov,96,0,160,0.09663852943772677,0.13839890094431817,0.075837,0.208561,0.284398,0.238268,0.061224
gefcom_wind,patchtstcov,96,1,159,0.13839890094431817,0.17253865566867782,-0.032688,0.345009,0.312321,0.421017,0.040379
gefcom_wind,patchtstcov,96,2,159,0.17253865566867782,0.22084369735467888,-0.032884,0.365698,0.332813,0.477047,0.055342
gefcom_wind,patchtstcov,336,0,32,0.17496080887463844,0.22084369735467888,-0.012636,0.364317,0.35168,0.082218,0.022912
gefcom_wind,patchtstcov,336,1,31,0.22084369735467888,0.22084369735467888,-0.028171,0.359875,0.331704,0.301973,0.032581
gefcom_wind,patchtstcov,336,2,31,0.22084369735467888,0.22084369735467888,-0.014443,0.356062,0.341619,0.179865,0.02255
jeju_wind,patchtstcov,24,0,1377,1.552,16.281000000000006,-0.042792,0.14912,0.106328,0.581757,0.220255
jeju_wind,patchtstcov,24,1,1376,16.281000000000006,32.375,0.026365,0.260743,0.287108,0.62628,0.295118
jeju_wind,patchtstcov,24,2,1376,32.375,100.258,0.062575,0.654426,0.717001,0.776065,0.345556
jeju_wind,patchtstcov,48,0,1369,2.543,23.911999999999995,-0.01859,0.17465,0.15606,0.53247,0.199552
jeju_wind,patchtstcov,48,1,1368,23.911999999999995,43.891999999999996,0.067699,0.37159,0.439289,0.6119,0.27186
jeju_wind,patchtstcov,48,2,1368,43.891999999999996,100.258,0.043001,0.624323,0.667323,0.645543,0.266169
