[supervised] attempt 1/3 2026-07-20 13:40:04 :: uv run python -m experiments.g7_blocke --arms revin_all,linmix_raw,linmix_revin,linmix_condnorm
[146] gefcom_load_linmix_raw_336_0: mse=0.5028 mae=0.5328 (0.66s)
[147] gefcom_load_linmix_raw_336_1: mse=0.5018 mae=0.5330 (0.7s)
[148] gefcom_load_linmix_raw_336_2: mse=0.5124 mae=0.5379 (0.66s)
[149] gefcom_load_linmix_raw_336_3: mse=0.4954 mae=0.5287 (0.78s)
[150] gefcom_load_linmix_raw_336_4: mse=0.5027 mae=0.5340 (0.88s)
[151] gefcom_load_linmix_revin_336_0: mse=0.5489 mae=0.5486 (0.98s)
[152] gefcom_load_linmix_revin_336_1: mse=0.5667 mae=0.5626 (0.93s)
[153] gefcom_load_linmix_revin_336_2: mse=0.5598 mae=0.5529 (0.95s)
[154] gefcom_load_linmix_revin_336_3: mse=0.5525 mae=0.5476 (1.02s)
[155] gefcom_load_linmix_revin_336_4: mse=0.5521 mae=0.5538 (1.23s)
[156] gefcom_load_linmix_condnorm_336_0: mse=0.1338 mae=0.2378 (0.66s)
[157] gefcom_load_linmix_condnorm_336_1: mse=0.1352 mae=0.2399 (0.65s)
[158] gefcom_load_linmix_condnorm_336_2: mse=0.1337 mae=0.2382 (0.66s)
[159] gefcom_load_linmix_condnorm_336_3: mse=0.1304 mae=0.2361 (0.65s)
[160] gefcom_load_linmix_condnorm_336_4: mse=0.1323 mae=0.2373 (0.65s)
[161] gefcom_solar_revin_all_24_0: mse=2.2433 mae=0.7523 (0.43s)
[162] gefcom_solar_revin_all_24_1: mse=2.6689 mae=0.8369 (0.69s)
[163] gefcom_solar_revin_all_24_2: mse=2.6513 mae=0.8823 (0.43s)
[164] gefcom_solar_revin_all_24_3: mse=0.3839 mae=0.3849 (0.57s)
[165] gefcom_solar_revin_all_24_4: mse=0.7892 mae=0.5680 (0.54s)
[166] gefcom_solar_linmix_raw_24_0: mse=0.1505 mae=0.2844 (0.31s)
[167] gefcom_solar_linmix_raw_24_1: mse=0.1595 mae=0.2936 (0.36s)
