zone,backbone,norm,h,seed,L,mse,lps
2,rlinear,raw,336,3,336,1.585467,0.5753
2,rlinear,raw,336,4,336,1.572017,0.5753
2,rlinear,revin,336,0,336,1.575952,0.5753
2,rlinear,revin,336,1,336,1.572974,0.5753
2,rlinear,revin,336,2,336,1.547997,0.5753
2,rlinear,revin,336,3,336,1.57795,0.5753
2,rlinear,revin,336,4,336,1.562386,0.5753
2,rlinear,condnorm,336,0,336,0.583394,0.5753
2,rlinear,condnorm,336,1,336,0.583075,0.5753
2,rlinear,condnorm,336,2,336,0.582507,0.5753
2,rlinear,condnorm,336,3,336,0.584541,0.5753
2,rlinear,condnorm,336,4,336,0.581996,0.5753
3,rlinear,raw,24,0,336,0.828774,0.699
3,rlinear,raw,24,1,336,0.819988,0.699
3,rlinear,raw,24,2,336,0.819336,0.699
3,rlinear,raw,24,3,336,0.83732,0.699
3,rlinear,raw,24,4,336,0.829249,0.699
3,rlinear,revin,24,0,336,0.840283,0.699
3,rlinear,revin,24,1,336,0.843298,0.699
3,rlinear,revin,24,2,336,0.869844,0.699
3,rlinear,revin,24,3,336,0.869987,0.699
3,rlinear,revin,24,4,336,0.848316,0.699
3,rlinear,condnorm,24,0,336,0.428555,0.699
3,rlinear,condnorm,24,1,336,0.437578,0.699
3,rlinear,condnorm,24,2,336,0.436209,0.699
3,rlinear,condnorm,24,3,336,0.43139,0.699
3,rlinear,condnorm,24,4,336,0.429321,0.699
3,rlinear,raw,96,0,336,1.027292,0.699
3,rlinear,raw,96,1,336,1.032107,0.699
3,rlinear,raw,96,2,336,1.030168,0.699
3,rlinear,raw,96,3,336,1.038615,0.699
3,rlinear,raw,96,4,336,1.045993,0.699
3,rlinear,revin,96,0,336,1.083453,0.699
3,rlinear,revin,96,1,336,1.076735,0.699
3,rlinear,revin,96,2,336,1.092447,0.699
3,rlinear,revin,96,3,336,1.080606,0.699
3,rlinear,revin,96,4,336,1.088567,0.699
3,rlinear,condnorm,96,0,336,0.42326,0.699
3,rlinear,condnorm,96,1,336,0.419467,0.699
3,rlinear,condnorm,96,2,336,0.419134,0.699
3,rlinear,condnorm,96,3,336,0.420134,0.699
3,rlinear,condnorm,96,4,336,0.421522,0.699
3,rlinear,raw,336,0,336,1.076196,0.699
3,rlinear,raw,336,1,336,1.082792,0.699
3,rlinear,raw,336,2,336,1.070816,0.699
3,rlinear,raw,336,3,336,1.083969,0.699
3,rlinear,raw,336,4,336,1.082919,0.699
3,rlinear,revin,336,0,336,1.062413,0.699
3,rlinear,revin,336,1,336,1.045374,0.699
3,rlinear,revin,336,2,336,1.059302,0.699
3,rlinear,revin,336,3,336,1.065442,0.699
3,rlinear,revin,336,4,336,1.071751,0.699
3,rlinear,condnorm,336,0,336,0.435825,0.699
3,rlinear,condnorm,336,1,336,0.43812,0.699
3,rlinear,condnorm,336,2,336,0.437915,0.699
3,rlinear,condnorm,336,3,336,0.43771,0.699
3,rlinear,condnorm,336,4,336,0.437032,0.699
4,rlinear,raw,24,0,336,1.075945,0.7585
4,rlinear,raw,24,1,336,1.099472,0.7585
4,rlinear,raw,24,2,336,1.10226,0.7585
4,rlinear,raw,24,3,336,1.112783,0.7585
4,rlinear,raw,24,4,336,1.074669,0.7585
4,rlinear,revin,24,0,336,1.070851,0.7585
4,rlinear,revin,24,1,336,1.063723,0.7585
4,rlinear,revin,24,2,336,1.083326,0.7585
4,rlinear,revin,24,3,336,1.113059,0.7585
4,rlinear,revin,24,4,336,1.060688,0.7585
4,rlinear,condnorm,24,0,336,0.357172,0.7585
4,rlinear,condnorm,24,1,336,0.353718,0.7585
4,rlinear,condnorm,24,2,336,0.35273,0.7585
4,rlinear,condnorm,24,3,336,0.354261,0.7585
4,rlinear,condnorm,24,4,336,0.35359,0.7585
4,rlinear,raw,96,0,336,1.349809,0.7585
4,rlinear,raw,96,1,336,1.362526,0.7585
4,rlinear,raw,96,2,336,1.350072,0.7585
4,rlinear,raw,96,3,336,1.306814,0.7585
4,rlinear,raw,96,4,336,1.338443,0.7585
4,rlinear,revin,96,0,336,1.281307,0.7585
4,rlinear,revin,96,1,336,1.347793,0.7585
4,rlinear,revin,96,2,336,1.284478,0.7585
4,rlinear,revin,96,3,336,1.292289,0.7585
4,rlinear,revin,96,4,336,1.293462,0.7585
4,rlinear,condnorm,96,0,336,0.346854,0.7585
4,rlinear,condnorm,96,1,336,0.345644,0.7585
4,rlinear,condnorm,96,2,336,0.347229,0.7585
4,rlinear,condnorm,96,3,336,0.348809,0.7585
4,rlinear,condnorm,96,4,336,0.345927,0.7585
4,rlinear,raw,336,0,336,1.390565,0.7585
4,rlinear,raw,336,1,336,1.395759,0.7585
4,rlinear,raw,336,2,336,1.416681,0.7585
4,rlinear,raw,336,3,336,1.399346,0.7585
4,rlinear,raw,336,4,336,1.40437,0.7585
4,rlinear,revin,336,0,336,1.402318,0.7585
4,rlinear,revin,336,1,336,1.395591,0.7585
4,rlinear,revin,336,2,336,1.398973,0.7585
4,rlinear,revin,336,3,336,1.412154,0.7585
4,rlinear,revin,336,4,336,1.408123,0.7585
4,rlinear,condnorm,336,0,336,0.349951,0.7585
4,rlinear,condnorm,336,1,336,0.349515,0.7585
4,rlinear,condnorm,336,2,336,0.34917,0.7585
4,rlinear,condnorm,336,3,336,0.349838,0.7585
4,rlinear,condnorm,336,4,336,0.349352,0.7585
5,rlinear,raw,24,0,336,0.995025,0.7472
5,rlinear,raw,24,1,336,0.975863,0.7472
5,rlinear,raw,24,2,336,1.014309,0.7472
5,rlinear,raw,24,3,336,1.042617,0.7472
5,rlinear,raw,24,4,336,0.999511,0.7472
5,rlinear,revin,24,0,336,1.003792,0.7472
5,rlinear,revin,24,1,336,0.98779,0.7472
5,rlinear,revin,24,2,336,0.99555,0.7472
5,rlinear,revin,24,3,336,1.043747,0.7472
5,rlinear,revin,24,4,336,1.005622,0.7472
5,rlinear,condnorm,24,0,336,0.327623,0.7472
5,rlinear,condnorm,24,1,336,0.328287,0.7472
5,rlinear,condnorm,24,2,336,0.329278,0.7472
5,rlinear,condnorm,24,3,336,0.330222,0.7472
5,rlinear,condnorm,24,4,336,0.329556,0.7472
5,rlinear,raw,96,0,336,1.246131,0.7472
5,rlinear,raw,96,1,336,1.246965,0.7472
5,rlinear,raw,96,2,336,1.245678,0.7472
5,rlinear,raw,96,3,336,1.224267,0.7472
5,rlinear,raw,96,4,336,1.231722,0.7472
5,rlinear,revin,96,0,336,1.191062,0.7472
5,rlinear,revin,96,1,336,1.219098,0.7472
5,rlinear,revin,96,2,336,1.197966,0.7472
5,rlinear,revin,96,3,336,1.187532,0.7472
5,rlinear,revin,96,4,336,1.185767,0.7472
5,rlinear,condnorm,96,0,336,0.321323,0.7472
5,rlinear,condnorm,96,1,336,0.320436,0.7472
5,rlinear,condnorm,96,2,336,0.320667,0.7472
5,rlinear,condnorm,96,3,336,0.319484,0.7472
5,rlinear,condnorm,96,4,336,0.320515,0.7472
5,rlinear,raw,336,0,336,1.262763,0.7472
5,rlinear,raw,336,1,336,1.277398,0.7472
5,rlinear,raw,336,2,336,1.274973,0.7472
5,rlinear,raw,336,3,336,1.276178,0.7472
5,rlinear,raw,336,4,336,1.271549,0.7472
5,rlinear,revin,336,0,336,1.2599,0.7472
5,rlinear,revin,336,1,336,1.254223,0.7472
5,rlinear,revin,336,2,336,1.271352,0.7472
5,rlinear,revin,336,3,336,1.266098,0.7472
5,rlinear,revin,336,4,336,1.271958,0.7472
5,rlinear,condnorm,336,0,336,0.312234,0.7472
5,rlinear,condnorm,336,1,336,0.312434,0.7472
5,rlinear,condnorm,336,2,336,0.312604,0.7472
5,rlinear,condnorm,336,3,336,0.312503,0.7472
5,rlinear,condnorm,336,4,336,0.311976,0.7472
6,rlinear,raw,24,0,336,0.908951,0.7276
6,rlinear,raw,24,1,336,0.926542,0.7276
6,rlinear,raw,24,2,336,0.927345,0.7276
6,rlinear,raw,24,3,336,0.944927,0.7276
6,rlinear,raw,24,4,336,0.934954,0.7276
6,rlinear,revin,24,0,336,0.936085,0.7276
6,rlinear,revin,24,1,336,0.926086,0.7276
6,rlinear,revin,24,2,336,0.94401,0.7276
6,rlinear,revin,24,3,336,0.951936,0.7276
6,rlinear,revin,24,4,336,0.945063,0.7276
6,rlinear,condnorm,24,0,336,0.451854,0.7276
6,rlinear,condnorm,24,1,336,0.454594,0.7276
6,rlinear,condnorm,24,2,336,0.449414,0.7276
6,rlinear,condnorm,24,3,336,0.453921,0.7276
6,rlinear,condnorm,24,4,336,0.457738,0.7276
6,rlinear,raw,96,0,336,1.1326,0.7276
6,rlinear,raw,96,1,336,1.146951,0.7276
6,rlinear,raw,96,2,336,1.13059,0.7276
6,rlinear,raw,96,3,336,1.130578,0.7276
6,rlinear,raw,96,4,336,1.132468,0.7276
6,rlinear,revin,96,0,336,1.112823,0.7276
6,rlinear,revin,96,1,336,1.135752,0.7276
6,rlinear,revin,96,2,336,1.119911,0.7276
6,rlinear,revin,96,3,336,1.118824,0.7276
6,rlinear,revin,96,4,336,1.125079,0.7276
6,rlinear,condnorm,96,0,336,0.435687,0.7276
6,rlinear,condnorm,96,1,336,0.434083,0.7276
6,rlinear,condnorm,96,2,336,0.434738,0.7276
6,rlinear,condnorm,96,3,336,0.436972,0.7276
6,rlinear,condnorm,96,4,336,0.436351,0.7276
6,rlinear,raw,336,0,336,1.202843,0.7276
6,rlinear,raw,336,1,336,1.186358,0.7276
6,rlinear,raw,336,2,336,1.18726,0.7276
6,rlinear,raw,336,3,336,1.186778,0.7276
6,rlinear,raw,336,4,336,1.191037,0.7276
6,rlinear,revin,336,0,336,1.215222,0.7276
6,rlinear,revin,336,1,336,1.194456,0.7276
6,rlinear,revin,336,2,336,1.204139,0.7276
6,rlinear,revin,336,3,336,1.199275,0.7276
6,rlinear,revin,336,4,336,1.198893,0.7276
6,rlinear,condnorm,336,0,336,0.414982,0.7276
6,rlinear,condnorm,336,1,336,0.413677,0.7276
6,rlinear,condnorm,336,2,336,0.414732,0.7276
6,rlinear,condnorm,336,3,336,0.413681,0.7276
6,rlinear,condnorm,336,4,336,0.414047,0.7276
7,rlinear,raw,24,0,336,1.11838,0.7508
7,rlinear,raw,24,1,336,1.208041,0.7508
7,rlinear,raw,24,2,336,1.11788,0.7508
7,rlinear,raw,24,3,336,1.135213,0.7508
7,rlinear,raw,24,4,336,1.134365,0.7508
