dataset,alpha_kind,backbone,h,seed,L,mse,alpha_mean
weather,alphahat,rlinear,24,4,336,0.10833,0.4499
weather,alphahat,lgbm_dms,24,0,336,0.120999,0.4499
weather,alphahat,rlinear,96,0,336,0.183525,0.4499
weather,alphahat,rlinear,96,1,336,0.183898,0.4499
weather,alphahat,rlinear,96,2,336,0.183915,0.4499
weather,alphahat,rlinear,96,3,336,0.181019,0.4499
weather,alphahat,rlinear,96,4,336,0.182261,0.4499
weather,alphahat,lgbm_dms,96,0,336,0.183169,0.4499
weather,alphahat,rlinear,336,0,720,0.269477,0.4499
weather,alphahat,rlinear,336,1,720,0.275551,0.4499
weather,alphahat,rlinear,336,2,720,0.277448,0.4499
weather,alphahat,rlinear,336,3,720,0.279971,0.4499
weather,alphahat,rlinear,336,4,720,0.277606,0.4499
weather,alphahat,lgbm_dms,336,0,336,0.267542,0.4499
weather,lpsclip,rlinear,24,0,336,0.103816,0.11
weather,lpsclip,rlinear,24,1,336,0.10442,0.11
weather,lpsclip,rlinear,24,2,336,0.106725,0.11
weather,lpsclip,rlinear,24,3,336,0.103823,0.11
weather,lpsclip,rlinear,24,4,336,0.107406,0.11
weather,lpsclip,lgbm_dms,24,0,336,0.097783,0.11
weather,lpsclip,rlinear,96,0,336,0.171858,0.11
weather,lpsclip,rlinear,96,1,336,0.179311,0.11
weather,lpsclip,rlinear,96,2,336,0.175,0.11
weather,lpsclip,rlinear,96,3,336,0.175818,0.11
weather,lpsclip,rlinear,96,4,336,0.178101,0.11
weather,lpsclip,lgbm_dms,96,0,336,0.160571,0.11
weather,lpsclip,rlinear,336,0,720,0.261373,0.11
weather,lpsclip,rlinear,336,1,720,0.260323,0.11
weather,lpsclip,rlinear,336,2,720,0.261852,0.11
weather,lpsclip,rlinear,336,3,720,0.273269,0.11
weather,lpsclip,rlinear,336,4,720,0.266345,0.11
weather,lpsclip,lgbm_dms,336,0,336,0.254689,0.11
electricity,alphahat,rlinear,24,0,336,0.114109,0.8853
electricity,alphahat,rlinear,24,1,336,0.117444,0.8853
electricity,alphahat,rlinear,24,2,336,0.116498,0.8853
electricity,alphahat,rlinear,24,3,336,0.11569,0.8853
electricity,alphahat,rlinear,24,4,336,0.115503,0.8853
electricity,alphahat,lgbm_dms,24,0,336,0.119185,0.8853
electricity,alphahat,rlinear,96,0,720,0.152965,0.8853
electricity,alphahat,rlinear,96,1,720,0.154172,0.8853
electricity,alphahat,rlinear,96,2,720,0.154269,0.8853
electricity,alphahat,rlinear,96,3,720,0.152596,0.8853
electricity,alphahat,rlinear,96,4,720,0.153916,0.8853
electricity,alphahat,lgbm_dms,96,0,336,0.152472,0.8853
electricity,alphahat,rlinear,336,0,336,0.191516,0.8853
electricity,alphahat,rlinear,336,1,336,0.195146,0.8853
electricity,alphahat,rlinear,336,2,336,0.191782,0.8853
electricity,alphahat,rlinear,336,3,336,0.192065,0.8853
electricity,alphahat,rlinear,336,4,336,0.192754,0.8853
electricity,alphahat,lgbm_dms,336,0,336,0.195094,0.8853
electricity,lpsclip,rlinear,24,0,336,0.110101,0.283
electricity,lpsclip,rlinear,24,1,336,0.108237,0.283
electricity,lpsclip,rlinear,24,2,336,0.110673,0.283
electricity,lpsclip,rlinear,24,3,336,0.110391,0.283
electricity,lpsclip,rlinear,24,4,336,0.110307,0.283
electricity,lpsclip,lgbm_dms,24,0,336,0.10402,0.283
electricity,lpsclip,rlinear,96,0,720,0.142308,0.283
electricity,lpsclip,rlinear,96,1,720,0.144178,0.283
electricity,lpsclip,rlinear,96,2,720,0.142466,0.283
electricity,lpsclip,rlinear,96,3,720,0.144299,0.283
electricity,lpsclip,rlinear,96,4,720,0.143949,0.283
electricity,lpsclip,lgbm_dms,96,0,336,0.134634,0.283
electricity,lpsclip,rlinear,336,0,336,0.171475,0.283
electricity,lpsclip,rlinear,336,1,336,0.172609,0.283
electricity,lpsclip,rlinear,336,2,336,0.171589,0.283
electricity,lpsclip,rlinear,336,3,336,0.171265,0.283
electricity,lpsclip,rlinear,336,4,336,0.177351,0.283
electricity,lpsclip,lgbm_dms,336,0,336,0.166033,0.283
