dataset,arm,backbone,h,seed,pinball,crps,cov80,cov_lo,cov_hi
gefcom_solar,revin,rlinear_q,336,1,0.096066,0.192131,0.890019,0.06669,0.956709
gefcom_solar,revin,rlinear_q,336,2,0.095787,0.191574,0.894298,0.06437,0.958668
gefcom_solar,revin,rlinear_q,336,3,0.095582,0.191163,0.885461,0.068693,0.954154
gefcom_solar,revin,rlinear_q,336,4,0.095943,0.191886,0.88934,0.066182,0.955522
gefcom_solar,san,rlinear_q,336,0,0.099433,0.198866,0.843741,0.086706,0.930446
gefcom_solar,san,rlinear_q,336,1,0.099403,0.198806,0.845844,0.082563,0.928406
gefcom_solar,san,rlinear_q,336,2,0.098979,0.197957,0.844801,0.085394,0.930194
gefcom_solar,san,rlinear_q,336,3,0.099647,0.199294,0.842028,0.085127,0.927156
gefcom_solar,san,rlinear_q,336,4,0.099139,0.198278,0.846069,0.084728,0.930797
gefcom_solar,fan,rlinear_q,336,0,0.113432,0.226864,0.738295,0.146376,0.88467
gefcom_solar,fan,rlinear_q,336,1,0.112655,0.225311,0.802245,0.141336,0.943581
gefcom_solar,fan,rlinear_q,336,2,0.11455,0.2291,0.780531,0.14251,0.923041
gefcom_solar,fan,rlinear_q,336,3,0.112464,0.224929,0.797853,0.138833,0.936686
gefcom_solar,fan,rlinear_q,336,4,0.112833,0.225666,0.795907,0.141945,0.937852
gefcom_solar,condnorm,rlinear_q,336,0,0.058099,0.116199,0.649011,0.174853,0.823864
gefcom_solar,condnorm,rlinear_q,336,1,0.058109,0.116218,0.648,0.17571,0.823709
gefcom_solar,condnorm,rlinear_q,336,2,0.058022,0.116044,0.669785,0.164647,0.834432
gefcom_solar,condnorm,rlinear_q,336,3,0.057962,0.115923,0.686946,0.156614,0.843559
gefcom_solar,condnorm,rlinear_q,336,4,0.058097,0.116194,0.647775,0.17558,0.823355
etth1,raw,rlinear_q,24,0,0.143684,0.287368,0.808959,0.084783,0.893743
etth1,raw,rlinear_q,24,1,0.144377,0.288754,0.79774,0.085227,0.882967
etth1,raw,rlinear_q,24,2,0.143781,0.287562,0.805344,0.084894,0.890238
etth1,raw,rlinear_q,24,3,0.144567,0.289134,0.801188,0.088819,0.890007
etth1,raw,rlinear_q,24,4,0.144455,0.28891,0.805536,0.082631,0.888167
etth1,revin,rlinear_q,24,0,0.143041,0.286082,0.807692,0.090605,0.898297
etth1,revin,rlinear_q,24,1,0.142015,0.284031,0.792494,0.097992,0.890486
etth1,revin,rlinear_q,24,2,0.142521,0.285041,0.798036,0.095726,0.893761
etth1,revin,rlinear_q,24,3,0.142482,0.284963,0.812853,0.088502,0.901355
etth1,revin,rlinear_q,24,4,0.142079,0.284159,0.798069,0.096059,0.894128
etth1,san,rlinear_q,24,0,0.147832,0.295663,0.727272,0.128615,0.855887
etth1,san,rlinear_q,24,1,0.148032,0.296065,0.762526,0.116683,0.879209
etth1,san,rlinear_q,24,2,0.149618,0.299235,0.769872,0.109001,0.878873
etth1,san,rlinear_q,24,3,0.146881,0.293763,0.764247,0.113572,0.877819
etth1,san,rlinear_q,24,4,0.147183,0.294366,0.676494,0.155441,0.831935
etth1,fan,rlinear_q,24,0,0.149367,0.298734,0.772272,0.109245,0.881517
etth1,fan,rlinear_q,24,1,0.147944,0.295888,0.765297,0.108445,0.873742
etth1,fan,rlinear_q,24,2,0.149318,0.298637,0.781172,0.094621,0.875794
etth1,fan,rlinear_q,24,3,0.149084,0.298168,0.740493,0.118235,0.858728
etth1,fan,rlinear_q,24,4,0.147807,0.295613,0.776326,0.102001,0.878327
etth1,condnorm,rlinear_q,24,0,0.643041,1.286083,0.060613,0.384857,0.44547
etth1,condnorm,rlinear_q,24,1,0.638977,1.277954,0.08824,0.373002,0.46124
etth1,condnorm,rlinear_q,24,2,0.636243,1.272486,0.064909,0.383478,0.448387
etth1,condnorm,rlinear_q,24,3,0.644018,1.288037,0.076289,0.377615,0.453904
etth1,condnorm,rlinear_q,24,4,0.643571,1.287143,0.07492,0.378277,0.453198
etth1,raw,rlinear_q,96,0,0.165827,0.331654,0.745321,0.118723,0.864045
etth1,raw,rlinear_q,96,1,0.164895,0.329791,0.763097,0.109201,0.872298
etth1,raw,rlinear_q,96,2,0.163777,0.327554,0.722714,0.132066,0.85478
etth1,raw,rlinear_q,96,3,0.164219,0.328437,0.78697,0.096083,0.883053
jeju_wind,condnorm,lgbm_q,24,0,0.132578,0.265156,0.639021,0.18074,0.819762
etth1,raw,rlinear_q,96,4,0.163338,0.326677,0.807743,0.088055,0.895798
etth1,revin,rlinear_q,96,0,0.160272,0.320545,0.819873,0.092608,0.91248
etth1,revin,rlinear_q,96,1,0.160553,0.321105,0.813152,0.094288,0.907439
etth1,revin,rlinear_q,96,2,0.16072,0.321439,0.814694,0.093445,0.908139
etth1,revin,rlinear_q,96,3,0.161345,0.32269,0.807368,0.098019,0.905387
etth1,revin,rlinear_q,96,4,0.161091,0.322181,0.813556,0.094985,0.908541
etth1,san,rlinear_q,96,0,0.16905,0.338101,0.736016,0.132077,0.868092
etth1,san,rlinear_q,96,1,0.167674,0.335349,0.740855,0.130746,0.871601
etth1,san,rlinear_q,96,2,0.16735,0.334701,0.721036,0.139162,0.860198
etth1,san,rlinear_q,96,3,0.168604,0.337208,0.733674,0.134217,0.86789
etth1,san,rlinear_q,96,4,0.168623,0.337245,0.715146,0.139485,0.854631
etth1,fan,rlinear_q,96,0,0.193896,0.387791,0.645202,0.153937,0.799139
etth1,fan,rlinear_q,96,1,0.183664,0.367327,0.711352,0.103336,0.814688
etth1,fan,rlinear_q,96,2,0.182342,0.364684,0.643908,0.122711,0.76662
