dataset,arm,h,seed,mse,mae,nmae
gefcom_wind,linmix_revin,96,4,0.275997,0.424475,
gefcom_wind,linmix_condnorm,96,0,0.168267,0.324886,
gefcom_wind,linmix_condnorm,96,1,0.16647,0.323795,
gefcom_wind,linmix_condnorm,96,2,0.16565,0.321982,
gefcom_wind,linmix_condnorm,96,3,0.171878,0.328482,
gefcom_wind,linmix_condnorm,96,4,0.167499,0.324279,
gefcom_wind,revin_all,336,0,0.326462,0.446825,
gefcom_wind,revin_all,336,1,0.340191,0.459299,
gefcom_wind,revin_all,336,2,0.314875,0.441007,
gefcom_wind,revin_all,336,3,0.328735,0.450073,
gefcom_wind,revin_all,336,4,0.327072,0.448824,
gefcom_wind,linmix_raw,336,0,0.290847,0.426272,
gefcom_wind,linmix_raw,336,1,0.31326,0.443025,
gefcom_wind,linmix_raw,336,2,0.290766,0.43108,
gefcom_wind,linmix_raw,336,3,0.287296,0.42573,
gefcom_wind,linmix_raw,336,4,0.298096,0.432288,
gefcom_wind,linmix_revin,336,0,0.371304,0.479695,
gefcom_wind,linmix_revin,336,1,0.389508,0.491141,
gefcom_wind,linmix_revin,336,2,0.356407,0.477246,
gefcom_wind,linmix_revin,336,3,0.379475,0.491728,
gefcom_wind,linmix_revin,336,4,0.337167,0.463685,
gefcom_wind,linmix_condnorm,336,0,0.192317,0.341943,
gefcom_wind,linmix_condnorm,336,1,0.187844,0.33825,
gefcom_wind,linmix_condnorm,336,2,0.186906,0.336364,
gefcom_wind,linmix_condnorm,336,3,0.189943,0.340583,
gefcom_wind,linmix_condnorm,336,4,0.193223,0.344002,
gefcom_load,revin_all,24,0,0.220401,0.337726,
gefcom_load,revin_all,24,1,0.243955,0.352814,
gefcom_load,revin_all,24,2,0.211484,0.324028,
gefcom_load,revin_all,24,3,0.222089,0.337033,
weather,dynreg,336,0,0.264579,0.339053,
gefcom_load,revin_all,24,4,0.229405,0.342447,
gefcom_load,linmix_raw,24,0,0.213711,0.332626,
electricity,seasonal_naive,24,0,0.211649,0.278022,
gefcom_load,linmix_raw,24,1,0.200973,0.324669,
electricity,climatology,24,0,0.39261,0.436897,
electricity,first_stage_only,24,0,0.323399,0.386217,
gefcom_load,linmix_raw,24,2,0.200926,0.322323,
gefcom_load,linmix_raw,24,3,0.194299,0.319759,
gefcom_load,linmix_raw,24,4,0.216012,0.338165,
gefcom_load,linmix_revin,24,0,0.204106,0.321498,
gefcom_load,linmix_revin,24,1,0.206566,0.314397,
gefcom_load,linmix_revin,24,2,0.195611,0.311833,
gefcom_load,linmix_revin,24,3,0.204251,0.318326,
gefcom_load,linmix_revin,24,4,0.189106,0.310092,
gefcom_load,linmix_condnorm,24,0,0.08258,0.193254,
electricity,dynreg,24,0,0.164182,0.259755,
gefcom_load,linmix_condnorm,24,1,0.076726,0.186547,
electricity,seasonal_naive,96,0,0.21227,0.278516,
gefcom_load,linmix_condnorm,24,2,0.077484,0.186478,
gefcom_load,linmix_condnorm,24,3,0.077058,0.186182,
electricity,climatology,96,0,0.391584,0.436091,
gefcom_load,linmix_condnorm,24,4,0.078002,0.188565,
gefcom_load,revin_all,96,0,0.42431,0.471304,
electricity,first_stage_only,96,0,0.32289,0.385919,
gefcom_load,revin_all,96,1,0.416821,0.466056,
gefcom_load,revin_all,96,2,0.407097,0.468982,
gefcom_load,revin_all,96,3,0.426419,0.469314,
gefcom_load,revin_all,96,4,0.424842,0.476224,
gefcom_load,linmix_raw,96,0,0.359715,0.440118,
gefcom_load,linmix_raw,96,1,0.376432,0.45371,
gefcom_load,linmix_raw,96,2,0.367788,0.444485,
gefcom_load,linmix_raw,96,3,0.353247,0.43516,
gefcom_load,linmix_raw,96,4,0.375,0.452469,
gefcom_load,linmix_revin,96,0,0.395909,0.443761,
gefcom_load,linmix_revin,96,1,0.382006,0.44407,
gefcom_load,linmix_revin,96,2,0.380001,0.446957,
gefcom_load,linmix_revin,96,3,0.387375,0.445612,
gefcom_load,linmix_revin,96,4,0.387606,0.439163,
gefcom_load,linmix_condnorm,96,0,0.11173,0.218753,
gefcom_load,linmix_condnorm,96,1,0.110763,0.218401,
gefcom_load,linmix_condnorm,96,2,0.113947,0.221268,
gefcom_load,linmix_condnorm,96,3,0.11228,0.220733,
gefcom_load,linmix_condnorm,96,4,0.110817,0.218302,
gefcom_load,revin_all,336,0,0.576867,0.5629,
gefcom_load,revin_all,336,1,0.567417,0.561821,
gefcom_load,revin_all,336,2,0.576524,0.562471,
gefcom_load,revin_all,336,3,0.600356,0.571353,
gefcom_load,revin_all,336,4,0.594437,0.577502,
gefcom_load,linmix_raw,336,0,0.502758,0.532804,
gefcom_load,linmix_raw,336,1,0.501808,0.533,
gefcom_load,linmix_raw,336,2,0.512443,0.537863,
gefcom_load,linmix_raw,336,3,0.495364,0.528693,
gefcom_load,linmix_raw,336,4,0.502728,0.53403,
gefcom_load,linmix_revin,336,0,0.54894,0.548645,
gefcom_load,linmix_revin,336,1,0.566709,0.562581,
gefcom_load,linmix_revin,336,2,0.55985,0.552866,
gefcom_load,linmix_revin,336,3,0.552492,0.547645,
electricity,dynreg,96,0,0.206414,0.302083,
gefcom_load,linmix_revin,336,4,0.552114,0.553833,
gefcom_load,linmix_condnorm,336,0,0.133845,0.237838,
gefcom_load,linmix_condnorm,336,1,0.13523,0.239944,
gefcom_load,linmix_condnorm,336,2,0.133745,0.2382,
gefcom_load,linmix_condnorm,336,3,0.13036,0.236064,
gefcom_load,linmix_condnorm,336,4,0.132269,0.237333,
gefcom_solar,revin_all,24,0,2.243256,0.752345,
gefcom_solar,revin_all,24,1,2.668878,0.836883,
gefcom_solar,revin_all,24,2,2.651312,0.882338,
gefcom_solar,revin_all,24,3,0.383913,0.384934,
gefcom_solar,revin_all,24,4,0.789215,0.568011,
gefcom_solar,linmix_raw,24,0,0.150529,0.28439,
gefcom_solar,linmix_raw,24,1,0.159507,0.293648,
gefcom_solar,linmix_raw,24,2,0.155711,0.290583,
gefcom_solar,linmix_raw,24,3,0.155944,0.287671,
gefcom_solar,linmix_raw,24,4,0.15825,0.291653,
gefcom_solar,linmix_revin,24,0,0.14512,0.276953,
gefcom_solar,linmix_revin,24,1,0.15071,0.283901,
gefcom_solar,linmix_revin,24,2,0.147419,0.280862,
electricity,seasonal_naive,336,0,0.228233,0.295434,
gefcom_solar,linmix_revin,24,3,0.144979,0.280235,
gefcom_solar,linmix_revin,24,4,0.146208,0.279551,
gefcom_solar,linmix_condnorm,24,0,0.064076,0.152797,
gefcom_solar,linmix_condnorm,24,1,0.063659,0.151227,
gefcom_solar,linmix_condnorm,24,2,0.063966,0.152298,
gefcom_solar,linmix_condnorm,24,3,0.064003,0.151975,
gefcom_solar,linmix_condnorm,24,4,0.063399,0.151686,
gefcom_solar,revin_all,96,0,26.276346,2.126629,
gefcom_solar,revin_all,96,1,37.88707,2.690482,
gefcom_solar,revin_all,96,2,34.780624,2.462336,
gefcom_solar,revin_all,96,3,33.331638,2.160424,
gefcom_solar,revin_all,96,4,28.681229,2.444626,
gefcom_solar,linmix_raw,96,0,0.14055,0.272752,
gefcom_solar,linmix_raw,96,1,0.142078,0.273189,
gefcom_solar,linmix_raw,96,2,0.146486,0.277424,
gefcom_solar,linmix_raw,96,3,0.141733,0.27477,
gefcom_solar,linmix_raw,96,4,0.141593,0.274502,
gefcom_solar,linmix_revin,96,0,0.151341,0.278478,
gefcom_solar,linmix_revin,96,1,0.148084,0.27754,
gefcom_solar,linmix_revin,96,2,0.152078,0.280161,
gefcom_solar,linmix_revin,96,3,0.14906,0.277955,
gefcom_solar,linmix_revin,96,4,0.146071,0.274828,
gefcom_solar,linmix_condnorm,96,0,0.061919,0.147833,
gefcom_solar,linmix_condnorm,96,1,0.062023,0.14791,
gefcom_solar,linmix_condnorm,96,2,0.061695,0.146877,
gefcom_solar,linmix_condnorm,96,3,0.061747,0.14695,
gefcom_solar,linmix_condnorm,96,4,0.061714,0.146768,
electricity,climatology,336,0,0.383944,0.432404,
gefcom_solar,revin_all,336,0,936.836426,13.142651,
gefcom_solar,revin_all,336,1,1058.769653,13.942016,
gefcom_solar,revin_all,336,2,879.624573,12.981653,
gefcom_solar,revin_all,336,3,847.546692,12.32998,
gefcom_solar,revin_all,336,4,848.062744,12.306077,
gefcom_solar,linmix_raw,336,0,0.184825,0.320989,
gefcom_solar,linmix_raw,336,1,0.178831,0.314491,
gefcom_solar,linmix_raw,336,2,0.17707,0.315137,
gefcom_solar,linmix_raw,336,3,0.180885,0.317675,
gefcom_solar,linmix_raw,336,4,0.177075,0.312587,
gefcom_solar,linmix_revin,336,0,0.187917,0.32055,
gefcom_solar,linmix_revin,336,1,0.18677,0.318926,
gefcom_solar,linmix_revin,336,2,0.187691,0.321731,
gefcom_solar,linmix_revin,336,3,0.192654,0.324811,
gefcom_solar,linmix_revin,336,4,0.187725,0.319259,
gefcom_solar,linmix_condnorm,336,0,0.065277,0.156633,
gefcom_solar,linmix_condnorm,336,1,0.065505,0.157226,
