dataset,arm,footing,backbone,h,seed,L,mse,threads,wall_s
gefcom_wind,revin,window,mlpmix,24,2,192,0.222238,8,0.5
gefcom_wind,revin,window,mlpmix,24,3,192,0.222313,8,0.4
gefcom_wind,revin,window,mlpmix,24,4,192,0.221915,8,0.7
gefcom_wind,raw,window_floor,mlpmix,24,0,192,0.26241,8,0.7
gefcom_wind,raw,window_floor,mlpmix,24,1,192,0.261111,8,0.8
gefcom_wind,raw,window_floor,mlpmix,24,2,192,0.270539,8,0.4
gefcom_wind,raw,window_floor,mlpmix,24,3,192,0.260327,8,0.9
gefcom_wind,raw,window_floor,mlpmix,24,4,192,0.26555,8,0.4
gefcom_wind,revin,window_floor,mlpmix,24,0,192,0.212629,8,0.7
gefcom_wind,revin,window_floor,mlpmix,24,1,192,0.220617,8,0.6
gefcom_wind,revin,window_floor,mlpmix,24,2,192,0.222238,8,0.7
gefcom_wind,revin,window_floor,mlpmix,24,3,192,0.222313,8,0.4
gefcom_wind,revin,window_floor,mlpmix,24,4,192,0.221915,8,0.7
gefcom_wind,raw,scale,mlpmix,24,0,192,0.314365,8,0.7
gefcom_wind,raw,scale,mlpmix,24,1,192,0.334918,8,0.5
gefcom_wind,raw,scale,mlpmix,24,2,192,0.330557,8,0.4
gefcom_wind,raw,scale,mlpmix,24,3,192,0.318474,8,0.5
gefcom_wind,raw,scale,mlpmix,24,4,192,0.318909,8,0.5
gefcom_wind,revin,scale,mlpmix,24,0,192,0.251334,8,0.6
gefcom_wind,revin,scale,mlpmix,24,1,192,0.253338,8,0.5
gefcom_wind,revin,scale,mlpmix,24,2,192,0.240966,8,0.9
gefcom_wind,revin,scale,mlpmix,24,3,192,0.240952,8,0.8
gefcom_wind,revin,scale,mlpmix,24,4,192,0.253581,8,1.0
gefcom_wind,raw,global,mlpmix,96,0,336,0.236688,8,0.4
gefcom_wind,raw,global,mlpmix,96,1,336,0.222429,8,0.4
gefcom_wind,raw,global,mlpmix,96,2,336,0.236714,8,0.6
gefcom_wind,raw,global,mlpmix,96,3,336,0.240223,8,0.7
gefcom_wind,raw,global,mlpmix,96,4,336,0.247585,8,0.6
gefcom_wind,revin,global,mlpmix,96,0,336,0.2729,8,0.6
gefcom_wind,revin,global,mlpmix,96,1,336,0.252957,8,0.6
gefcom_wind,revin,global,mlpmix,96,2,336,0.26696,8,0.4
gefcom_wind,revin,global,mlpmix,96,3,336,0.257827,8,0.9
gefcom_wind,revin,global,mlpmix,96,4,336,0.264687,8,0.9
gefcom_wind,raw,window,mlpmix,96,0,336,0.285479,8,0.5
gefcom_wind,raw,window,mlpmix,96,1,336,0.294444,8,0.5
gefcom_wind,raw,window,mlpmix,96,2,336,0.285604,8,0.4
gefcom_wind,raw,window,mlpmix,96,3,336,0.297378,8,0.6
gefcom_wind,raw,window,mlpmix,96,4,336,0.302382,8,0.7
gefcom_wind,revin,window,mlpmix,96,0,336,0.245492,8,0.9
gefcom_wind,revin,window,mlpmix,96,1,336,0.238398,8,0.7
gefcom_wind,revin,window,mlpmix,96,2,336,0.2501,8,0.9
gefcom_wind,revin,window,mlpmix,96,3,336,0.245102,8,0.6
gefcom_wind,revin,window,mlpmix,96,4,336,0.246082,8,1.0
gefcom_wind,raw,window_floor,mlpmix,96,0,336,0.285479,8,0.7
gefcom_wind,raw,window_floor,mlpmix,96,1,336,0.294444,8,0.8
gefcom_wind,raw,window_floor,mlpmix,96,2,336,0.285604,8,0.6
gefcom_wind,raw,window_floor,mlpmix,96,3,336,0.297378,8,0.7
gefcom_wind,raw,window_floor,mlpmix,96,4,336,0.302382,8,0.7
gefcom_wind,revin,window_floor,mlpmix,96,0,336,0.245492,8,0.9
gefcom_wind,revin,window_floor,mlpmix,96,1,336,0.238398,8,0.6
gefcom_wind,revin,window_floor,mlpmix,96,2,336,0.2501,8,0.9
gefcom_wind,revin,window_floor,mlpmix,96,3,336,0.245102,8,0.7
gefcom_wind,revin,window_floor,mlpmix,96,4,336,0.246082,8,1.1
gefcom_wind,raw,scale,mlpmix,96,0,336,0.249464,8,0.4
gefcom_wind,raw,scale,mlpmix,96,1,336,0.2601,8,0.5
gefcom_wind,raw,scale,mlpmix,96,2,336,0.250658,8,0.5
gefcom_wind,raw,scale,mlpmix,96,3,336,0.256255,8,0.7
gefcom_wind,raw,scale,mlpmix,96,4,336,0.260647,8,0.5
gefcom_wind,revin,scale,mlpmix,96,0,336,0.242189,8,0.7
gefcom_wind,revin,scale,mlpmix,96,1,336,0.222348,8,0.6
gefcom_wind,revin,scale,mlpmix,96,2,336,0.23794,8,1.0
