lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.0,2,336,336,revin,0.388964,0.496027,8,0.0032,nan,0.107106,0.2
0.0,2,336,336,cn_oracle,0.301587,0.437417,5,0.0032,nan,0.0,0.08
0.0,2,336,336,cn_est,0.426585,0.520162,12,0.0032,1.127249,0.986694,0.21
0.0,3,96,24,raw,0.314711,0.446354,10,0.0,nan,1.607626,0.17
0.0,3,96,24,revin,0.308379,0.442078,11,0.0,nan,0.037241,0.36
0.0,3,96,24,cn_oracle,0.276408,0.417745,6,0.0,nan,0.0,0.12
0.0,3,96,24,cn_est,0.331232,0.458674,14,0.0,1.607352,1.626507,0.3
0.0,3,96,96,raw,0.345795,0.46784,13,0.0,nan,1.561585,0.29
0.0,3,96,96,revin,0.333266,0.459807,8,0.0,nan,0.058293,0.24
0.0,3,96,96,cn_oracle,0.27897,0.42017,7,0.0,nan,0.0,0.14
0.0,3,96,96,cn_est,0.36357,0.480543,13,0.0,1.607352,1.579774,0.23
0.0,3,96,336,raw,0.447339,0.532025,7,0.0,nan,1.427564,0.16
0.0,3,96,336,revin,0.38712,0.496727,6,0.0,nan,0.114232,0.16
0.0,3,96,336,cn_oracle,0.282853,0.422893,7,0.0,nan,0.0,0.11
0.0,3,96,336,cn_est,0.466633,0.543722,7,0.0,1.607352,1.447183,0.12
0.0,3,336,24,raw,0.324192,0.453202,13,0.0,nan,1.607626,0.21
0.0,3,336,24,revin,0.31455,0.447049,5,0.0,nan,0.067013,0.16
0.0,3,336,24,cn_oracle,0.280357,0.421166,5,0.0,nan,0.0,0.09
0.0,3,336,24,cn_est,0.340982,0.465533,13,0.0,1.578848,1.626507,0.21
0.0,3,336,96,raw,0.343396,0.466495,8,0.0,nan,1.561585,0.18
0.0,3,336,96,revin,0.337364,0.462532,7,0.0,nan,0.082384,0.2
0.0,3,336,96,cn_oracle,0.285044,0.424329,6,0.0,nan,0.0,0.11
0.0,3,336,96,cn_est,0.363091,0.480047,8,0.0,1.578848,1.579774,0.13
0.0,3,336,336,raw,0.4346,0.523992,8,0.0,nan,1.427564,0.2
0.0,3,336,336,revin,0.395433,0.501368,8,0.0,nan,0.133955,0.23
0.0,3,336,336,cn_oracle,0.286258,0.425393,5,0.0,nan,0.0,0.12
0.0,3,336,336,cn_est,0.452525,0.535039,8,0.0,1.578848,1.447183,0.13
0.0,4,96,24,raw,0.492144,0.558863,7,0.0148,nan,5.991377,0.12
0.0,4,96,24,revin,0.472452,0.547824,9,0.0148,nan,0.027355,0.29
0.0,4,96,24,cn_oracle,0.445375,0.530219,6,0.0148,nan,0.0,0.11
0.0,4,96,24,cn_est,0.51217,0.56983,7,0.0148,5.987832,5.990423,0.12
0.0,4,96,96,raw,0.537773,0.583071,6,0.0148,nan,6.015491,0.11
0.0,4,96,96,revin,0.495672,0.56027,8,0.0148,nan,0.0412,0.22
0.0,4,96,96,cn_oracle,0.45176,0.534123,8,0.0148,nan,0.0,0.16
0.0,4,96,96,cn_est,0.554313,0.592632,6,0.0148,5.987832,6.01632,0.11
0.0,4,96,336,raw,0.631545,0.63376,9,0.0148,nan,6.072566,0.17
0.0,4,96,336,revin,0.516196,0.572148,7,0.0148,nan,0.062391,0.21
0.0,4,96,336,cn_oracle,0.449703,0.533195,6,0.0148,nan,0.0,0.11
0.0,4,96,336,cn_est,0.653352,0.645283,9,0.0148,5.987832,6.077322,0.16
0.0,4,336,24,raw,0.552258,0.591613,10,0.0148,nan,5.991377,0.16
0.0,4,336,24,revin,0.473728,0.548226,5,0.0148,nan,0.039646,0.14
0.0,4,336,24,cn_oracle,0.450313,0.53377,7,0.0148,nan,0.0,0.15
0.0,4,336,24,cn_est,0.551359,0.591072,10,0.0148,5.998706,5.990423,0.16
0.0,4,336,96,raw,0.5976,0.615359,4,0.0148,nan,6.015491,0.07
0.0,4,336,96,revin,0.492791,0.559361,6,0.0148,nan,0.047979,0.17
0.0,4,336,96,cn_oracle,0.45158,0.534594,6,0.0148,nan,0.0,0.13
0.0,4,336,96,cn_est,0.660537,0.648391,7,0.0148,5.998706,6.01632,0.14
0.0,4,336,336,raw,0.629695,0.63232,8,0.0148,nan,6.072566,0.13
0.0,4,336,336,revin,0.509269,0.569301,5,0.0148,nan,0.05867,0.13
0.0,4,336,336,cn_oracle,0.4508,0.534664,5,0.0148,nan,0.0,0.08
0.0,4,336,336,cn_est,0.648315,0.64206,8,0.0148,5.998706,6.077322,0.13
0.0,5,96,24,raw,0.439311,0.529414,10,0.0006,nan,4.452158,0.22
0.0,5,96,24,revin,0.427232,0.522871,6,0.0006,nan,0.036665,0.18
0.0,5,96,24,cn_oracle,0.393827,0.502552,9,0.0006,nan,0.0,0.18
