lam,seed,L,h,th_raw,th_revin,th_cn_oracle,th_cn_est
0.2,8,336,96,0.6421649793274297,0.650411714250788,0.13855189804126244,0.1645173874775956
0.2,8,336,336,0.682895560354704,0.7007144014480282,0.139606321719084,0.18464916024552455
0.2,9,96,24,0.9307836713542151,0.8293414855763177,0.20560256806656757,0.22778354118798969
0.2,9,96,96,1.1804205015240221,1.023231382561255,0.20797478434607275,0.23663362872951837
0.2,9,96,336,1.2923832200653758,1.0829331844298256,0.2056957647163902,0.24571352352751485
0.2,9,336,24,0.8407942633261518,0.791236729075936,0.20241627163465922,0.22224115018697352
0.2,9,336,96,1.0134299742491415,0.9239972686748718,0.20308697106320026,0.22799871689041482
0.2,9,336,336,1.0514857923290282,0.9505978661199793,0.2022867270090236,0.24200388848626728
0.3,0,96,24,0.7111611351811526,0.7280558875316331,0.12019195847347271,0.13337838731838045
0.3,0,96,96,0.7840937832415695,0.8062002924986738,0.12244446473427736,0.13984253237969008
0.3,0,96,336,0.8443798284260484,0.8921922155569227,0.12339084497613814,0.1546266590406007
0.3,0,336,24,0.6998515392893243,0.7055592956293726,0.11835416250786299,0.13198485493841014
0.3,0,336,96,0.7835328569230736,0.7943277889351836,0.1202488174567235,0.13809936876651796
0.3,0,336,336,0.8531935040487276,0.8702814022404408,0.1214240097077449,0.1558147339126193
0.3,1,96,24,0.668140508029946,0.6658268018925679,0.1082694429569511,0.12398973994935593
0.3,1,96,96,0.7565396574043868,0.7523733806860917,0.10947933578350487,0.1313713942761522
0.3,1,96,336,0.786191743866387,0.7713422095993973,0.10937714321315539,0.1544351936157571
0.3,1,336,24,0.6276573509913083,0.6195560721186748,0.10505309430135838,0.12047552636923965
0.3,1,336,96,0.7017627959475466,0.6852560520606433,0.10639073589931759,0.12787108781236833
0.3,1,336,336,0.7630591563758837,0.7325752548375877,0.10907661680441784,0.15345175068999856
0.3,2,96,24,0.6624179805193946,0.6955781253124781,0.1191289281124972,0.1468524437846065
0.3,2,96,96,0.7912141299451719,0.8550314583648188,0.12036034791634374,0.16146992912084818
0.3,2,96,336,0.8071005360546457,0.8902534678947401,0.12180127076208024,0.18997413729486726
0.3,2,336,24,0.6481482595304228,0.6556639430247668,0.11881790679269201,0.14640814682793565
0.3,2,336,96,0.7695399350822276,0.786985733419251,0.12053536914210135,0.16082401675309338
0.3,2,336,336,0.8104244951819786,0.837114376922563,0.12206716767097406,0.1909189861175789
0.3,3,96,24,1.0556635945955553,0.942367045329302,0.15868274039645797,0.18329143405957085
0.3,3,96,96,1.3457451351813168,1.167928415659594,0.16094003224687084,0.20053405525694692
0.3,3,96,336,1.5004258123476395,1.3862631830892542,0.16268100906277208,0.25039845732091426
0.3,3,336,24,1.0064352574827609,0.9457117945886948,0.15944440916551605,0.18216021156522272
0.3,3,336,96,1.2598897849506852,1.1543144167344843,0.1608634609983167,0.19811101406370435
0.3,3,336,336,1.3609368611754682,1.3097249026532396,0.1618901931579488,0.24456903940832694
0.3,4,96,24,0.7826171427025497,0.7953844202567689,0.12518462247318685,0.14718721291209522
0.3,4,96,96,0.9388453038947577,0.9505777813624036,0.12602182699539546,0.1659213323270854
0.3,4,96,336,1.009236364663687,1.0161472084444454,0.12696435625100547,0.21247332580331296
0.3,4,336,24,0.7483297205884362,0.7473270354236728,0.12444484353689354,0.14794030311814907
0.3,4,336,96,0.8948022247619818,0.8971603791137749,0.12573297934249109,0.16767486482121924
0.3,4,336,336,0.9767371600872662,0.9945078465722567,0.12690111014224414,0.21527214374021675
0.3,5,96,24,1.0990640809089498,0.9637428561656086,0.15232300884059685,0.16891280583566434
0.3,5,96,96,1.3066347738550836,1.1601768700646533,0.15502645844341248,0.17561079531046525
0.3,5,96,336,1.4775255757201358,1.2884814004474268,0.1563648494545683,0.18529024170165193
0.3,5,336,24,0.9953899588552727,0.9504587860180708,0.15031560069515848,0.16469892861641314
0.3,5,336,96,1.1836988139569664,1.1245535406100309,0.15222562405144063,0.1708670528293477
0.3,5,336,336,1.3114014411248196,1.1688236612242076,0.15308578524348432,0.17969589197903918
0.3,6,96,24,0.7961341687739333,0.8302639617542649,0.12486688866941234,0.13816408615025555
0.3,6,96,96,0.8966291566801489,0.9487100104297889,0.1268270841953507,0.1420538280262524
0.3,6,96,336,0.9173868230942789,0.9886767732173397,0.1266505746860358,0.1480455426061734
0.3,6,336,24,0.7866839162738932,0.7934605862958792,0.12361020927939768,0.13649408481140266
0.3,6,336,96,0.8847859299033681,0.8965729688927411,0.1255024109172368,0.1400751084758553
0.3,6,336,336,0.9058754565360303,0.9269365580853638,0.12513081633223372,0.1459974752480769
0.3,7,96,24,1.1162249467831404,0.8731765392242082,0.14687399706305682,0.1670741642992086
0.3,7,96,96,1.438716307747082,0.9850591697583378,0.1488580160755031,0.1819142701574351
0.3,7,96,336,1.7342432565256267,0.9947382531057242,0.14901181155074217,0.24015632064419407
0.3,7,336,24,0.9710925585389549,0.8137253797073061,0.14518361541563898,0.16131378116239245
0.3,7,336,96,1.182640894967703,0.911493588812304,0.14708493456008745,0.17793611040500845
0.3,7,336,336,1.429811250380667,0.9468069857063057,0.14802584064372729,0.25579789088122296
0.3,8,96,24,1.0932283886628762,0.8174295326444764,0.15598066657494353,0.18005335665513958
0.3,8,96,96,1.4086268258515628,0.9394284157412122,0.15708498258870024,0.1900874297510811
0.3,8,96,336,1.5002703754206723,1.0300512166103237,0.16070617297629383,0.2304151472587635
0.3,8,336,24,0.8804718801101992,0.7964980873032005,0.1556625909793013,0.17301090997172547
0.3,8,336,96,1.0572815730320084,0.9100974750979193,0.15746943741591435,0.18161983153895372
0.3,8,336,336,1.1972815393245213,0.9702529426116236,0.15818825356678753,0.20680535399171981
0.3,9,96,24,0.7457110259262784,0.7187133492427029,0.1435058908603811,0.15500958219697356
0.3,9,96,96,0.8756033704081615,0.8393379415880243,0.14515504832494486,0.15863266263193607
0.3,9,96,336,0.9599781377239361,0.9635593846706506,0.14460059298134087,0.16261066987357276
0.3,9,336,24,0.7126722001619756,0.7153830452456307,0.1417721328695056,0.1522232557285407
0.3,9,336,96,0.8071998451834457,0.8186888597080916,0.14309739884721043,0.15677066124126132
0.3,9,336,336,0.8590396682153366,0.8840985260343693,0.14186469685824896,0.16689710155357534
0.4,0,96,24,0.7398951402038798,0.7521033971768402,0.10284527230151484,0.1123423006353719
0.4,0,96,96,0.8418494460390814,0.8592474602870517,0.10375726228416171,0.11607152861919043
0.4,0,96,336,0.8519048066978838,0.8634624914518441,0.10364347124906131,0.11946133069978851
0.4,0,336,24,0.6879696416374964,0.6876587813511269,0.10042079917204702,0.1093764762905713
0.4,0,336,96,0.7754678296006833,0.7767113446573118,0.10183259726677425,0.1130717179950606
0.4,0,336,336,0.8270893577757367,0.8281546578975154,0.10261555387700726,0.11756181712989565
0.4,1,96,24,0.6490444296970364,0.6716374731369629,0.09447844648354053,0.10568621893423034
0.4,1,96,96,0.7724781533519632,0.8208008930286157,0.09506172538708789,0.10905392809313186
0.4,1,96,336,0.8549024031637449,0.9384433477033455,0.09573727987717168,0.12109555297387416
0.4,1,336,24,0.6815787828523787,0.6881653273200193,0.093033281187134,0.10440617364547447
0.4,1,336,96,0.7966769518835253,0.8101513002549275,0.09483993189431782,0.10870065798239954
0.4,1,336,336,0.840587720883602,0.8569135123592095,0.09531323903406554,0.12024131003618646
0.4,2,96,24,0.6925960841879125,0.7169552531659564,0.09043053314391271,0.10096081917409759
0.4,2,96,96,0.7886593403869614,0.8358891501619435,0.09107816654701373,0.1057535684149588
0.4,2,96,336,0.7982160278442882,0.8649055144088844,0.09233466412648061,0.12066990575787916
0.4,2,336,24,0.6657987942967258,0.6700050627875209,0.08980603849917873,0.09998091013998602
0.4,2,336,96,0.7536727546844273,0.762965364251387,0.09076715704548714,0.10539962301820203
0.4,2,336,336,0.7736753016369271,0.789717151551376,0.09172251206070596,0.12016565207695373
0.4,3,96,24,0.6755669037606566,0.6954261243205146,0.10647557589547237,0.11862264245132363
0.4,3,96,96,0.7633278969452988,0.7977001940533153,0.10682425833217019,0.12385647440302629
0.4,3,96,336,0.8004406811829338,0.8496171948952366,0.10765609466657064,0.1360540088660093
0.4,3,336,24,0.6658652094823082,0.6711550817143065,0.10592727868317399,0.11786572979372564
0.4,3,336,96,0.7500110197486318,0.7600371779788886,0.1073676907708234,0.12343049411479559
0.4,3,336,336,0.7819066538895587,0.7975618947762427,0.10747932579860792,0.13504169329573046
0.4,4,96,24,0.789206036916552,0.7991603655382209,0.10463590219939589,0.1142683776387749
0.4,4,96,96,0.9298163112526794,0.9281366493010335,0.10658570103515759,0.1188877647545047
0.4,4,96,336,0.992262050779613,0.9846125463005385,0.10662179096325695,0.12615568375340042
0.4,4,336,24,0.7700986865154972,0.7711052842646738,0.10434852635443023,0.1138190457374067
0.4,4,336,96,0.8884095719995604,0.8872149300217631,0.10530974719045223,0.11708678317980259
0.4,4,336,336,0.921972410061518,0.9170951407370732,0.1045931258368488,0.12384943721843242
0.4,5,96,24,1.0715642212891048,0.9593947122486263,0.12615004674290556,0.13833154745230272
0.4,5,96,96,1.3350121439059346,1.1100801315673252,0.12887954172478425,0.14174575677632575
0.4,5,96,336,1.356069410848258,1.1501387968329289,0.13343432000571212,0.1475852102767201
0.4,5,336,24,0.9281782933313856,0.8937443844966183,0.12756738091064546,0.13749669769813871
0.4,5,336,96,1.0935969168119293,1.043569200156556,0.12992907628227854,0.1410542793857575
0.4,5,336,336,1.1412976949691171,1.1099817798325289,0.13270122063755688,0.14734326134649622
0.4,6,96,24,0.9381703410638252,0.8533379904594898,0.11329479280978391,0.12628868579758487
0.4,6,96,96,1.1480415856226123,0.969403051048276,0.11287900354503269,0.12626438960058003
0.4,6,96,336,1.1333160592495528,1.0190381642940511,0.11202494900659929,0.1304701069078433
0.4,6,336,24,0.8258659839203998,0.8056433805571458,0.11064665568923487,0.12238193550711919
0.4,6,336,96,0.9450287945724422,0.922241641377336,0.11096749155518457,0.12388755297293594
0.4,6,336,336,0.9525657034054363,0.9420774769991588,0.11108272328189261,0.1286313934730007
0.4,7,96,24,0.7938319855553772,0.8138379703669908,0.09521454819459799,0.1045959491581158
0.4,7,96,96,0.8896349713864017,0.9229588129060571,0.09759744935476883,0.10757831228901941
0.4,7,96,336,0.970117358791579,1.0485306740906462,0.09820422223040817,0.11060581644285533
0.4,7,336,24,0.8049977393277272,0.814401533910664,0.09502538937942241,0.10371584780256417
0.4,7,336,96,0.9259330844743328,0.9436208422664183,0.09670241027308757,0.10586675544627366
0.4,7,336,336,0.9861259789352009,1.0138063972384475,0.09669957052616973,0.10876621919078415
0.4,8,96,24,0.8261927001110347,0.8238417459628059,0.10732498506600206,0.11721679313283745
0.4,8,96,96,0.9839984913313291,0.9691166559129029,0.1077970117963177,0.11772214066184998
0.4,8,96,336,1.010801282746263,1.005686027095962,0.10920842125716525,0.12262809556570281
0.4,8,336,24,0.7609625720479801,0.7586094074244658,0.10638451077855471,0.11513339502476591
0.4,8,336,96,0.8870447204195651,0.8816529551761727,0.10753399798302406,0.11685620900043497
0.4,8,336,336,0.8970730951966719,0.8947296741349928,0.10843627807593141,0.12115103992383594
0.4,9,96,24,0.7698212558789228,0.7709503767126922,0.10742572136085349,0.1356359008447175
0.4,9,96,96,0.9254834953979972,0.9362022674081074,0.10821087791723188,0.15730665191703821
0.4,9,96,336,1.0173278143380016,1.05361905432438,0.10807979394817387,0.22553677798877264
