dataset,arm,backbone,h,seed,variant,width80,upper_margin,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
gefcom_load,raw,rlinear_q,24,3,pooled,1.02193,0.508733,0.115405,0.23081,0.820351,0.081346,0.901694,0.800653
gefcom_load,raw,rlinear_q,24,3,perstep,1.014492,0.504011,0.115184,0.230369,0.82175,0.08095,0.9027,0.801204
gefcom_load,raw,rlinear_q,24,4,none,1.040753,0.50777,0.115474,0.230948,0.836265,0.069359,0.905624,0.825122
gefcom_load,raw,rlinear_q,24,4,pooled,0.99414,0.487612,0.115305,0.23061,0.814982,0.085359,0.90034,0.801066
gefcom_load,raw,rlinear_q,24,4,perstep,0.993698,0.486593,0.115067,0.230133,0.817083,0.084043,0.901126,0.802058
gefcom_load,revin,rlinear_q,24,0,none,1.018059,0.52018,0.116008,0.232016,0.794563,0.101533,0.896097,0.774093
gefcom_load,revin,rlinear_q,24,0,pooled,1.064608,0.544817,0.116068,0.232136,0.818681,0.091741,0.910422,0.799999
gefcom_load,revin,rlinear_q,24,0,perstep,1.071559,0.547785,0.116014,0.232028,0.81835,0.091472,0.909823,0.80004
gefcom_load,revin,rlinear_q,24,1,none,1.04863,0.537524,0.11706,0.234119,0.811847,0.094176,0.906024,0.788653
gefcom_load,revin,rlinear_q,24,1,pooled,1.07215,0.547959,0.117156,0.234313,0.822756,0.089344,0.912099,0.800002
gefcom_load,revin,rlinear_q,24,1,perstep,1.077329,0.550016,0.117129,0.234257,0.822294,0.089571,0.911865,0.800288
gefcom_load,revin,rlinear_q,24,2,none,1.04513,0.537294,0.116055,0.232109,0.805923,0.095489,0.901412,0.786445
gefcom_load,revin,rlinear_q,24,2,pooled,1.071406,0.547554,0.116111,0.232221,0.819084,0.091528,0.910611,0.799999
gefcom_load,revin,rlinear_q,24,2,perstep,1.080696,0.550669,0.116088,0.232175,0.819359,0.091317,0.910677,0.80015
gefcom_load,revin,rlinear_q,24,3,none,1.050578,0.534946,0.117108,0.234216,0.811437,0.08871,0.900147,0.791522
gefcom_load,revin,rlinear_q,24,3,pooled,1.067361,0.54558,0.117144,0.234288,0.81887,0.089199,0.908069,0.800026
gefcom_load,revin,rlinear_q,24,3,perstep,1.073782,0.543488,0.117062,0.234125,0.818901,0.088951,0.907852,0.800708
gefcom_load,revin,rlinear_q,24,4,none,1.052739,0.535655,0.115466,0.230932,0.802847,0.100696,0.90354,0.781175
gefcom_load,revin,rlinear_q,24,4,pooled,1.086413,0.550329,0.115538,0.231077,0.821106,0.090842,0.911948,0.800081
gefcom_load,revin,rlinear_q,24,4,perstep,1.08947,0.553556,0.115488,0.230977,0.820283,0.091128,0.911411,0.800119
gefcom_load,condnorm,rlinear_q,24,0,none,0.366512,0.183874,0.074407,0.148813,0.6369,0.150275,0.787175,0.653375
gefcom_load,condnorm,rlinear_q,24,0,pooled,0.532495,0.288619,0.073039,0.146078,0.786721,0.108402,0.895122,0.799999
gefcom_load,condnorm,rlinear_q,24,0,perstep,0.53186,0.286712,0.072625,0.145251,0.786218,0.10927,0.895487,0.800112
gefcom_load,condnorm,rlinear_q,24,1,none,0.39828,0.214859,0.073935,0.147869,0.668623,0.137169,0.805792,0.682263
gefcom_load,condnorm,rlinear_q,24,1,pooled,0.534938,0.288547,0.07245,0.144901,0.788291,0.10795,0.896241,0.799999
gefcom_load,condnorm,rlinear_q,24,1,perstep,0.535456,0.287473,0.072098,0.144195,0.786555,0.108632,0.895188,0.799992
gefcom_load,condnorm,rlinear_q,24,2,none,0.466091,0.233828,0.073329,0.146658,0.731972,0.112731,0.844703,0.747193
gefcom_load,condnorm,rlinear_q,24,2,pooled,0.536072,0.288493,0.072841,0.145682,0.787682,0.109101,0.896782,0.799999
gefcom_load,condnorm,rlinear_q,24,2,perstep,0.536336,0.288466,0.072423,0.144845,0.786149,0.109735,0.895883,0.800343
gefcom_load,condnorm,rlinear_q,24,3,none,0.416369,0.193896,0.073186,0.146373,0.686754,0.123064,0.809819,0.70213
gefcom_load,condnorm,rlinear_q,24,3,pooled,0.533146,0.287541,0.072149,0.144299,0.788925,0.109645,0.89857,0.799999
gefcom_load,condnorm,rlinear_q,24,3,perstep,0.534089,0.288143,0.071811,0.143622,0.788632,0.109559,0.898191,0.800374
gefcom_load,condnorm,rlinear_q,24,4,none,0.426691,0.229012,0.073608,0.147216,0.695686,0.133573,0.829259,0.710162
gefcom_load,condnorm,rlinear_q,24,4,pooled,0.536439,0.284145,0.072701,0.145402,0.787626,0.106476,0.894103,0.799999
gefcom_load,condnorm,rlinear_q,24,4,perstep,0.536716,0.284886,0.07215,0.1443,0.786042,0.107864,0.893906,0.800112
gefcom_solar,raw,rlinear_q,24,0,none,0.818776,0.310262,0.088492,0.176983,0.893824,0.054728,0.948551,0.898958
gefcom_solar,raw,rlinear_q,24,0,pooled,0.688434,0.246563,0.086746,0.173493,0.804705,0.112789,0.917495,0.814189
gefcom_solar,raw,rlinear_q,24,0,perstep,0.675448,0.247793,0.085717,0.171435,0.819025,0.102455,0.92148,0.82937
gefcom_solar,raw,rlinear_q,24,1,none,0.842742,0.329496,0.087702,0.175405,0.896109,0.050587,0.946697,0.898527
gefcom_solar,raw,rlinear_q,24,1,pooled,0.71994,0.281258,0.085586,0.171172,0.816883,0.100501,0.917384,0.821377
gefcom_solar,raw,rlinear_q,24,1,perstep,0.70824,0.282331,0.084688,0.169377,0.834073,0.090366,0.924439,0.837937
gefcom_solar,raw,rlinear_q,24,2,none,0.731379,0.294385,0.091149,0.182298,0.855436,0.083974,0.93941,0.875541
gefcom_solar,raw,rlinear_q,24,2,pooled,0.605457,0.232554,0.089792,0.179585,0.78014,0.13222,0.912361,0.806737
gefcom_solar,raw,rlinear_q,24,2,perstep,0.597193,0.227023,0.089034,0.178068,0.786743,0.129626,0.916369,0.813703
gefcom_solar,raw,rlinear_q,24,3,none,0.839455,0.318384,0.088142,0.176284,0.899753,0.049307,0.949059,0.904997
gefcom_solar,raw,rlinear_q,24,3,pooled,0.702352,0.250987,0.086282,0.172565,0.803557,0.114766,0.918323,0.818098
gefcom_solar,raw,rlinear_q,24,3,perstep,0.68439,0.242278,0.085319,0.170637,0.818053,0.107744,0.925797,0.831975
gefcom_solar,raw,rlinear_q,24,4,none,0.833569,0.318851,0.087221,0.174443,0.900835,0.048942,0.949777,0.903838
gefcom_solar,raw,rlinear_q,24,4,pooled,0.695251,0.256122,0.085391,0.170783,0.8143,0.101903,0.916203,0.826709
gefcom_solar,raw,rlinear_q,24,4,perstep,0.682878,0.24951,0.084567,0.169134,0.826566,0.097178,0.923744,0.836833
gefcom_solar,revin,rlinear_q,24,0,none,0.811492,0.315836,0.087635,0.175269,0.878908,0.059994,0.938902,0.885853
gefcom_solar,revin,rlinear_q,24,0,pooled,0.695075,0.259767,0.08647,0.17294,0.795807,0.116631,0.912438,0.809652
gefcom_solar,revin,rlinear_q,24,0,perstep,0.672957,0.255078,0.085111,0.170222,0.819124,0.102753,0.921878,0.833698
